,R1,R2,R3,R4,R5,R6,R7
3084,3,10,15,25,34,43,21
3083,7,8,26,31,34,39,19
3082,17,24,28,36,42,43,26
3081,10,14,30,32,33,44,4
3080,3,6,18,24,29,35,16
3079,8,11,24,29,35,44,15
3078,1,2,11,18,36,40,10
3077,10,11,17,25,36,37,20
3076,7,17,23,26,32,35,12
3075,7,8,11,12,26,39,4
3074,9,15,16,18,35,44,2
3073,8,16,22,27,29,42,34
3072,1,3,14,20,35,36,25
3071,6,10,14,33,36,40,15
3070,1,2,6,20,37,40,8
3069,7,13,17,33,37,41,40
3068,6,7,11,30,31,37,14
3067,2,9,15,17,31,39,32
3066,2,8,18,29,30,37,21
3065,1,2,9,11,15,41,38
3064,2,9,11,15,20,21,43
3063,4,10,12,22,32,36,38
3062,2,10,15,18,31,42,6
3061,7,19,23,24,25,28,20
3060,5,6,9,17,36,40,2
3059,6,7,12,14,18,44,20
3058,7,19,26,33,36,44,42
3057,4,11,13,19,25,32,36
3056,19,24,26,28,33,35,39
3055,13,14,21,24,28,41,42
3054,4,5,7,24,27,40,11
3053,6,8,32,35,41,42,3
3052,5,21,31,33,38,40,28
3051,7,8,12,29,36,40,19
3050,5,12,26,28,31,32,42
3049,2,11,15,30,34,35,9
3048,1,22,25,32,33,40,34
3047,1,7,8,38,39,43,34
3046,7,8,13,17,28,43,20
3045,10,18,20,33,34,44,11
3044,4,5,12,18,32,43,1
3043,12,13,16,17,35,44,32
3042,12,15,18,20,40,42,2
3041,8,11,14,27,40,43,34
3040,2,11,17,27,30,31,9
3039,5,6,14,36,37,41,3
3038,5,14,28,36,37,43,32
3037,13,24,28,30,32,37,27
3036,1,3,12,19,24,40,21
3035,1,12,18,22,30,40,14
3034,4,8,20,23,31,36,2
3033,5,7,12,30,37,44,3
3032,4,5,13,26,28,34,24
3031,1,3,8,10,23,30,20
3030,4,6,10,15,22,35,30
3029,12,20,23,24,33,36,37
3028,9,15,18,21,32,38,29
3027,13,15,20,25,34,43,41
3026,3,9,13,15,36,41,28
3025,7,12,16,20,30,38,29
3024,10,16,26,30,35,37,40
3023,2,10,17,25,36,43,14
3022,18,24,31,34,43,44,39
3021,5,13,23,30,33,39,11
3020,11,14,16,19,24,28,13
3019,1,3,24,30,38,41,16
3018,6,13,20,30,36,43,15
3017,15,23,31,32,36,42,27
3016,1,6,12,13,27,43,11
3015,2,5,13,17,23,26,30
3014,5,9,23,35,37,43,19
3013,2,3,16,19,20,38,31
3012,13,14,15,16,17,18,19
3011,9,27,32,38,40,41,29
3010,2,4,5,7,23,42,28
3009,6,11,33,34,38,40,9
3008,8,18,21,31,34,43,15
3007,1,4,20,30,31,39,43
3006,3,9,16,29,35,42,33
3005,8,21,24,27,28,31,12
3004,4,25,28,29,30,32,7
3003,12,20,27,34,36,41,11
3002,1,2,4,17,26,41,21
3001,3,7,18,26,34,38,33
3000,4,7,9,12,14,44,2
2999,2,6,10,23,39,42,15
2998,1,10,11,21,34,40,12
2997,2,10,11,13,16,19,31
2996,5,9,13,22,29,35,39
2995,2,5,10,18,37,41,16
2994,15,17,21,23,25,30,35
2993,7,18,22,30,31,44,29
2992,16,30,31,35,36,42,27
2991,17,28,31,36,37,41,4
2990,17,18,20,31,34,43,32
2989,1,2,12,13,15,29,5
2988,7,18,30,36,37,43,23
2987,6,17,26,27,33,40,44
2986,3,7,12,14,27,32,38
2985,5,7,21,33,36,41,3
2984,4,5,19,38,39,42,12
2983,2,7,8,33,35,44,37
2982,18,24,29,32,35,42,31
2981,7,9,15,20,24,41,22
2980,5,20,22,26,40,42,16
2979,1,10,12,27,33,34,32
2978,1,4,11,15,40,42,20
2977,4,9,12,15,28,30,11
2976,5,16,26,28,31,34,30
2975,3,4,25,32,34,35,11
2974,2,7,12,16,28,42,19
2973,7,11,18,26,33,38,6
2972,7,10,24,29,35,41,40
2971,3,4,16,18,25,26,15
2970,2,4,11,27,29,41,1
2969,1,5,8,9,22,25,20
2968,2,12,14,18,34,39,23
2967,4,5,26,28,33,35,39
2966,8,13,20,23,30,33,5
2965,5,11,22,27,43,44,18
2964,1,3,9,34,39,44,2
2963,2,3,14,22,29,37,41
2962,9,10,20,24,35,40,37
2961,1,5,8,10,13,40,17
2960,2,11,16,17,35,36,25
2959,10,11,33,36,41,43,25
2958,1,9,17,23,24,44,34
2957,8,9,12,14,17,38,21
2956,12,15,16,21,37,43,24
2955,12,22,31,35,36,44,40
2954,4,6,7,10,18,43,44
2953,1,2,6,11,24,41,28
2952,3,15,16,33,35,41,43
2951,8,12,25,30,32,34,33
2950,1,9,15,27,34,44,25
2949,22,24,26,27,37,39,25
2948,1,3,8,13,14,21,26
2947,1,12,15,21,27,38,8
2946,5,21,22,31,32,37,11
2945,4,12,18,22,23,31,8
2944,1,5,15,17,41,44,20
2943,5,15,21,34,40,42,11
2942,6,19,21,29,37,44,36
2941,23,29,32,40,41,44,7
2940,7,8,10,13,15,29,40
2939,11,12,14,40,41,43,26
2938,4,10,24,37,38,42,25
2937,1,5,16,21,25,37,20
2936,6,18,23,31,40,41,38
2935,1,8,14,33,42,44,30
2934,13,14,21,34,38,39,32
2933,9,20,24,34,37,40,5
2932,12,18,23,29,33,36,10
2931,13,19,23,29,30,44,25
2930,13,19,23,31,38,43,9
2929,26,29,33,34,39,42,16
2928,8,13,17,21,28,31,3
2927,6,14,18,23,31,35,8
2926,2,5,10,15,23,37,13
2925,2,4,14,24,30,38,40
2924,13,15,21,26,33,34,24
2923,4,5,7,10,28,44,32
2922,2,17,26,28,39,44,12
2921,5,12,15,18,37,41,17
2920,6,13,16,30,31,36,9
2919,2,16,18,24,39,41,30
2918,9,10,19,20,28,32,39
2917,13,17,18,32,35,38,19
2916,7,20,29,32,33,41,43
2915,3,11,15,19,28,37,4
2914,8,9,22,31,39,40,6
2913,4,19,23,24,32,39,42
2912,1,8,11,25,27,36,26
2911,3,5,9,13,23,33,20
2910,8,24,30,35,37,44,31
2909,2,6,8,9,14,29,30
2908,9,16,22,27,30,42,13
2907,2,7,16,22,23,34,28
2906,4,7,8,13,31,41,19
2905,12,14,31,40,43,44,7
2904,3,11,17,20,26,35,37
2903,4,10,14,26,31,40,5
2902,14,18,20,24,26,36,2
2901,2,7,12,13,20,29,21
2900,2,7,10,16,21,36,19
2899,3,13,16,20,33,41,37
2898,3,4,12,19,32,33,40
2897,7,8,10,31,39,41,35
2896,19,28,35,36,37,38,4
2895,11,12,17,18,35,37,1
2894,9,17,18,26,27,38,33
2893,14,24,28,32,35,36,15
2892,7,8,29,30,32,33,4
2891,3,17,20,28,38,41,25
2890,2,16,26,36,37,39,22
2889,8,25,33,34,36,43,2
2888,12,17,32,33,38,40,5
2887,5,7,10,27,30,44,40
2886,2,14,29,34,37,41,23
2885,5,11,25,28,43,44,31
2884,1,8,17,32,43,44,31
2883,3,23,34,37,40,41,17
2882,14,27,30,31,35,37,24
2881,1,17,19,26,36,38,21
2880,11,19,24,27,32,41,28
2879,9,16,28,30,32,34,10
2878,2,14,17,20,25,26,30
2877,1,4,27,29,30,35,40
2876,1,5,14,19,30,31,41
2875,4,6,10,17,33,38,39
2874,11,13,25,35,40,43,9
2873,9,21,27,28,30,37,18
2872,8,14,15,36,37,38,29
2871,18,29,37,39,42,44,5
2870,5,8,22,31,38,44,30
2869,6,13,14,17,31,42,29
2868,4,18,31,37,41,43,40
2867,1,12,19,24,25,35,9
2866,6,12,21,24,31,40,38
2865,2,6,17,18,28,44,34
2864,2,7,18,27,37,43,5
2863,8,13,15,26,32,42,20
2862,7,9,12,20,22,41,18
2861,9,13,17,21,33,37,15
2860,9,10,12,17,28,38,3
2859,3,8,17,32,36,43,7
2858,1,18,20,24,30,32,15
2857,7,15,17,19,33,37,23
2856,9,36,37,41,42,44,25
2855,2,11,24,27,29,40,16
2854,11,12,23,30,40,42,26
2853,1,2,6,24,27,30,43
2852,8,11,22,32,42,43,17
2851,9,17,34,35,36,43,40
2850,2,11,25,31,32,33,4
2849,3,7,10,12,30,34,41
2848,2,3,6,14,18,43,22
2847,6,12,13,24,28,38,43
2846,16,22,31,33,34,36,2
2845,17,24,27,29,33,35,22
2844,4,12,13,27,37,44,1
2843,4,7,14,39,40,42,24
2842,7,9,10,19,22,30,11
2841,9,20,33,37,39,41,28
2840,12,20,21,27,39,42,8
2839,9,18,19,25,29,33,32
2838,2,19,27,36,41,43,6
2837,2,11,23,25,32,34,36
2836,18,20,23,24,28,35,44
2835,5,6,7,8,33,39,3
2834,15,23,41,42,43,44,21
2833,13,14,16,21,27,36,26
2832,9,12,26,32,39,42,1
2831,1,14,20,34,37,41,7
2830,8,10,28,30,33,43,6
2829,2,8,12,21,34,43,13
2828,1,18,29,32,34,39,33
2827,18,21,23,28,39,41,22
2826,6,7,9,13,31,44,27
2825,2,9,12,16,27,29,7
2824,1,7,20,29,37,40,21
2823,3,5,22,29,35,38,6
2822,1,5,11,13,16,28,29
2821,9,22,24,25,30,31,39
2820,1,3,8,27,34,44,21
2819,1,2,7,11,20,39,6
2818,3,11,21,25,33,35,4
2817,1,9,19,28,40,42,37
2816,3,8,10,11,27,42,4
2815,1,5,6,13,15,17,22
2814,5,7,16,18,29,34,11
2813,3,18,19,29,30,41,20
2812,1,4,10,16,18,39,40
2811,6,10,15,17,24,32,21
2810,1,10,25,33,40,44,37
2809,1,5,9,14,19,44,41
2808,1,8,18,19,24,31,32
2807,7,14,17,25,27,38,18
2806,5,6,9,19,28,42,44
2805,1,18,20,22,25,43,9
2804,2,15,24,37,40,42,43
2803,3,11,16,19,23,40,2
2802,5,6,11,21,26,37,7
2801,3,9,13,34,35,44,7
2800,3,4,24,33,39,42,43
2799,1,23,24,29,30,32,40
2798,1,27,36,37,43,44,18
2797,9,12,21,24,26,37,1
2796,6,23,29,37,40,44,25
2795,3,10,24,29,37,41,40
2794,13,18,24,27,31,44,36
2793,13,19,22,27,29,33,40
2792,5,12,13,22,38,42,9
2791,2,6,18,26,41,44,19
2790,20,25,27,29,37,44,24
2789,2,5,11,21,23,27,32
2788,4,10,25,31,37,41,20
2787,16,18,20,29,38,42,6
2786,7,13,27,31,38,39,37
2785,24,31,32,33,34,37,13
2784,13,14,19,28,31,40,20
2783,15,23,27,32,33,41,39
2782,3,5,23,26,27,40,33
2781,10,12,17,19,24,26,32
2780,1,3,15,16,36,44,9
2779,19,24,35,38,40,41,14
2778,3,7,13,15,24,25,34
2777,1,11,16,18,26,33,14
2776,8,35,37,40,42,44,21
2775,3,7,20,28,30,36,44
2774,5,7,11,14,25,30,12
2773,1,8,21,26,27,42,17
2772,9,18,20,23,25,41,24
2771,1,11,19,36,41,43,34
2770,7,10,27,32,33,42,35
2769,11,19,20,37,40,44,14
2768,6,9,17,31,34,43,27
2767,4,6,10,15,20,42,37
2766,6,17,23,30,41,44,31
2765,2,13,24,26,28,36,31
2764,3,14,15,18,29,35,27
2763,3,4,13,29,38,40,43
2762,8,12,24,25,28,31,19
2761,5,16,25,31,32,41,15
2760,5,11,14,38,40,41,27
2759,2,4,5,10,22,23,39
2758,6,11,27,37,40,43,31
2757,17,26,31,34,42,44,7
2756,6,9,19,29,32,37,43
2755,8,16,22,34,36,41,6
2754,2,4,10,26,27,41,22
2753,24,26,27,29,31,36,20
2752,9,12,29,39,42,43,13
2751,17,20,26,35,43,44,6
2750,15,18,20,25,31,32,13
2749,5,19,23,24,26,40,43
2748,2,6,14,20,38,41,9
2747,1,2,25,37,38,44,21
2746,10,21,24,31,38,42,9
2745,2,8,9,24,38,39,34
2744,7,28,35,36,39,42,31
2743,7,23,27,39,42,44,17
2742,1,5,22,31,33,44,36
2741,8,19,30,34,41,44,22
2740,3,10,15,18,33,41,43
2739,20,23,35,37,38,44,39
2738,5,10,26,27,30,37,42
2737,3,6,17,28,33,42,39
2736,3,5,18,27,38,44,13
2735,2,15,18,23,38,42,37
2734,1,3,10,16,32,43,8
2733,13,21,32,33,35,40,8
2732,4,7,9,19,32,36,44
2731,5,14,21,33,34,38,37
2730,2,12,18,23,27,43,40
2729,18,20,32,33,36,38,2
2728,14,18,26,29,32,33,12
2727,6,14,25,27,40,42,18
2726,10,14,20,32,33,44,23
2725,2,12,19,24,38,43,42
2724,8,11,25,39,40,41,28
2723,7,25,29,32,38,41,28
2722,2,17,21,25,31,44,14
2721,5,8,13,14,28,44,21
2720,2,5,13,16,24,40,7
2719,1,3,6,7,37,44,35
2718,10,25,26,34,36,44,37
2717,8,13,24,29,30,32,2
2716,5,15,34,39,40,42,7
2715,8,9,10,17,37,39,33
2714,2,8,20,32,38,42,19
2713,4,10,14,16,26,35,37
2712,5,12,15,36,37,38,31
2711,7,12,16,17,42,43,34
2710,3,7,15,25,32,33,22
2709,11,13,18,28,39,44,37
2708,16,18,21,34,35,44,17
2707,4,9,15,24,32,42,26
2706,8,12,18,35,39,40,27
2705,12,20,23,36,40,44,26
2704,9,10,17,28,38,39,35
2703,1,2,19,20,36,41,39
2702,9,16,25,36,41,42,40
2701,1,25,27,29,38,40,19
2700,3,8,11,22,28,42,24
2699,12,18,24,30,35,44,6
2698,2,27,32,40,41,43,11
2697,17,18,23,27,29,40,6
2696,6,13,14,31,34,41,3
2695,2,4,10,18,30,40,23
2694,8,10,13,24,39,40,44
2693,2,20,25,28,30,38,5
2692,3,13,21,26,33,35,34
2691,7,9,11,24,35,43,13
2690,2,6,8,15,30,39,34
2689,4,10,15,18,20,27,40
2688,7,27,29,30,36,42,13
2687,10,12,15,22,43,44,1
2686,1,7,26,33,38,40,31
2685,4,15,21,30,34,38,33
2684,8,9,22,27,28,31,15
2683,1,5,10,15,16,22,4
2682,13,14,15,30,36,41,26
2681,9,15,16,17,28,43,11
2680,2,6,10,13,20,37,15
2679,1,8,9,13,32,36,34
2678,4,10,25,26,27,39,14
2677,3,7,10,11,21,24,17
2676,3,6,8,16,17,37,25
2675,12,22,26,31,36,39,38
2674,7,23,26,28,31,35,41
2673,5,12,13,29,35,43,30
2672,4,11,17,21,31,42,6
2671,4,9,16,22,40,43,1
2670,1,28,33,36,40,44,43
2669,10,12,23,25,30,34,21
2668,3,6,29,32,33,34,21
2667,5,8,13,19,30,35,37
2666,8,10,12,26,33,36,23
2665,3,23,26,39,40,43,28
2664,2,3,19,32,37,40,27
2663,2,11,23,27,38,42,19
2662,7,9,24,28,38,43,3
2661,10,15,20,22,25,40,16
2660,7,25,28,30,38,40,3
2659,4,10,15,20,21,30,27
2658,3,15,25,34,36,41,1
2657,1,4,7,15,35,40,8
2656,9,20,24,27,31,35,44
2655,10,12,23,31,37,42,13
2654,7,12,19,20,41,44,36
2653,9,15,19,23,24,30,25
2652,3,7,10,18,25,39,35
2651,6,20,25,29,37,41,14
2650,9,12,25,32,35,44,28
2649,4,5,18,37,38,39,29
2648,5,10,17,26,38,42,8
2647,4,7,18,21,34,38,8
2646,7,9,10,12,19,25,38
2645,3,6,7,9,10,14,13
2644,6,10,18,31,34,38,37
2643,1,11,14,28,40,43,5
2642,6,7,19,29,39,40,10
2641,11,22,28,34,41,43,38
2640,6,14,34,36,37,44,35
2639,7,14,24,33,38,39,35
2638,18,23,25,36,37,43,9
2637,14,23,29,35,36,38,39
2636,16,28,30,31,34,44,27
2635,16,21,23,25,34,37,27
2634,3,11,30,31,37,40,15
2633,2,6,7,18,25,29,26
2632,1,4,10,13,26,29,34
2631,5,10,14,25,34,41,42
2630,1,10,18,25,40,44,29
2629,16,21,23,30,38,42,28
2628,5,16,18,22,26,27,37
2627,19,20,26,27,30,39,23
2626,10,25,27,34,35,42,3
2625,1,4,24,28,35,40,12
2624,9,11,17,20,28,39,38
2623,5,7,16,21,36,42,39
2622,5,7,17,27,29,34,10
2621,21,22,24,29,39,44,7
2620,4,5,17,35,40,41,25
2619,7,14,30,33,39,43,3
2618,3,27,34,35,37,38,24
2617,17,23,26,29,35,42,20
2616,7,10,16,22,37,39,40
2615,6,11,15,37,40,42,16
2614,3,18,23,33,40,42,10
2613,5,7,13,16,31,32,2
2612,22,25,26,31,32,41,40
2611,1,9,12,29,39,42,36
2610,6,8,20,23,24,25,33
2609,6,13,16,19,20,32,37
2608,11,20,30,31,32,44,37
2607,4,6,7,33,38,39,43
2606,1,4,5,10,12,42,35
2605,7,21,25,33,34,37,41
2604,6,9,14,22,24,29,4
2603,5,21,25,27,30,39,3
2602,2,11,17,24,25,26,12
2601,2,3,12,25,35,43,34
2600,1,5,18,25,32,37,26
2599,1,7,12,13,22,39,28
2598,8,10,15,16,31,35,4
2597,1,15,16,25,29,31,23
2596,1,3,8,11,15,44,36
2595,5,16,32,34,42,44,9
2594,23,25,32,33,37,38,20
2593,4,15,17,19,21,33,40
2592,3,6,14,21,27,36,33
2591,11,13,15,21,25,30,31
2590,4,8,17,19,27,39,1
2589,2,6,17,25,34,39,7
2588,2,14,28,40,41,43,17
2587,8,11,13,26,37,41,6
2586,6,17,19,23,25,43,32
2585,4,22,34,38,42,44,23
2584,7,16,24,28,31,33,18
2583,6,7,15,17,21,24,1
2582,2,4,6,32,39,40,18
2581,1,12,14,15,34,43,5
2580,9,16,18,28,30,36,2
2579,3,13,16,18,22,34,21
2578,1,7,8,14,25,44,19
2577,14,20,25,26,30,41,18
2576,3,15,33,35,40,42,20
2575,1,8,14,17,18,22,2
2574,2,8,28,31,34,39,17
2573,5,11,21,30,31,32,39
2572,3,11,14,26,31,32,8
2571,6,11,12,22,29,44,1
2570,5,12,18,23,26,39,13
2569,14,15,17,38,40,43,1
2568,16,17,20,28,29,43,22
2567,7,10,20,22,26,40,41
2566,3,6,27,32,38,40,14
2565,5,8,9,14,42,44,36
2564,9,15,31,36,39,43,6
2563,5,13,15,20,30,44,14
2562,6,7,13,27,32,40,35
2561,1,3,7,15,29,42,30
2560,2,3,8,12,17,23,28
2559,18,19,22,35,36,43,3
2558,2,18,23,26,29,32,10
2557,13,27,29,30,37,43,22
2556,8,12,16,21,34,44,6
2555,6,16,21,26,33,37,34
2554,2,13,19,24,30,37,39
2553,3,5,6,12,27,43,41
2552,2,5,13,16,19,38,34
2551,6,17,22,25,29,40,27
2550,13,32,33,36,39,40,15
2549,18,21,25,28,33,35,30
2548,4,11,18,22,28,30,21
2547,12,14,17,28,31,34,32
2546,5,18,25,36,42,44,3
2545,5,17,23,25,38,40,20
2544,1,4,11,13,16,20,36
2543,21,24,26,34,38,44,39
2542,8,24,29,32,33,44,18
2541,3,15,25,30,36,39,34
2540,2,3,7,31,32,38,36
2539,2,11,14,21,29,30,1
2538,1,9,23,25,32,44,17
2537,8,15,17,28,30,42,37
2536,4,24,26,28,38,42,44
2535,2,3,15,26,34,42,9
2534,5,7,25,26,30,39,24
2533,18,22,26,30,33,34,37
2532,13,14,16,20,37,41,34
2531,13,14,17,28,30,31,2
2530,8,9,24,27,35,42,31
2529,6,9,15,18,24,25,1
2528,7,14,25,36,41,43,1
2527,10,14,17,28,33,35,18
2526,1,6,10,31,37,38,4
2525,6,7,19,25,30,33,44
2524,6,8,9,26,37,43,23
2523,6,23,25,26,30,36,31
2522,18,20,28,31,38,44,40
2521,7,11,31,35,38,40,41
2520,4,10,16,18,20,37,3
2519,3,5,6,13,37,42,38
2518,11,18,28,30,31,34,15
2517,10,21,24,25,37,41,12
2516,2,3,8,14,31,39,9
2515,1,5,8,15,31,32,14
2514,10,33,37,40,42,43,44
2513,3,12,13,26,32,41,10
2512,12,17,24,28,35,39,16
2511,9,12,16,20,25,26,43
2510,5,14,15,18,33,36,2
2509,3,6,9,12,24,26,34
2508,1,4,8,9,35,44,24
2507,6,15,18,22,25,32,9
2506,1,5,19,31,34,39,27
2505,6,10,20,22,23,24,15
2504,3,15,21,28,36,37,7
2503,3,7,15,22,34,42,33
2502,9,12,13,34,35,41,1
2501,1,7,13,14,27,35,34
2500,10,22,24,25,37,43,31
2499,28,30,36,39,41,43,27
2498,3,9,19,23,32,39,8
2497,3,19,26,30,39,43,22
2496,2,17,19,21,33,35,28
2495,4,5,6,18,33,36,25
2494,2,7,13,23,34,37,27
2493,10,13,26,30,34,42,27
2492,3,16,17,33,35,40,37
2491,2,9,18,20,38,43,16
2490,9,13,26,30,32,44,19
2489,6,14,17,32,38,42,10
2488,7,8,15,16,18,43,36
2487,7,12,13,14,15,35,19
2486,3,12,13,19,27,38,23
2485,11,18,27,30,34,40,21
2484,2,10,13,18,29,36,15
2483,4,20,22,32,33,42,17
2482,3,18,23,27,34,37,44
2481,1,3,14,15,16,27,12
2480,4,10,16,25,31,35,32
2479,13,20,25,34,38,40,44
2478,10,17,21,25,35,44,31
2477,6,12,13,19,20,22,26
2476,6,10,11,33,35,36,39
2475,1,19,22,25,27,35,30
2474,12,15,23,26,32,33,31
2473,10,15,25,34,39,40,22
2472,2,17,23,29,38,39,11
2471,11,35,36,37,39,43,10
2470,5,7,18,19,22,30,27
2469,10,18,26,28,38,42,13
2468,9,24,27,28,34,36,39
2467,3,21,22,24,37,40,7
2466,3,9,11,20,21,26,5
2465,11,12,14,23,31,43,16
2464,5,15,16,18,32,33,20
2463,15,19,23,25,27,34,21
2462,2,4,18,28,40,42,25
2461,1,14,16,21,31,35,32
2460,8,16,18,21,32,43,34
2459,1,15,20,25,26,33,18
2458,8,23,27,32,33,44,41
2457,20,27,28,29,36,41,37
2456,8,17,19,29,31,43,22
2455,2,14,21,26,37,43,32
2454,1,5,14,16,20,33,40
2453,1,5,13,29,42,44,23
2452,17,19,22,23,38,41,33
2451,4,15,16,26,37,38,27
2450,2,3,10,24,26,36,27
2449,4,13,17,26,33,39,12
2448,9,13,14,22,23,40,3
2447,3,13,14,18,26,42,41
2446,2,10,14,23,41,43,13
2445,20,22,32,33,35,44,21
2444,8,15,19,25,33,36,34
2443,2,12,13,27,28,40,44
2442,18,19,30,31,32,43,3
2441,22,26,32,34,36,43,42
2440,7,8,9,12,22,37,16
2439,1,4,11,17,22,33,44
2438,10,22,30,36,40,44,15
2437,5,10,20,32,37,39,27
2436,2,11,14,21,32,44,30
2435,5,6,18,24,30,35,7
2434,22,27,32,35,43,44,16
2433,2,15,34,37,38,39,26
2432,4,13,14,15,29,40,32
2431,2,3,8,12,27,31,18
2430,4,12,14,15,23,43,13
2429,4,7,14,16,30,37,34
2428,2,14,16,23,37,39,19
2427,2,3,8,16,28,31,15
2426,14,17,18,24,32,42,12
2425,2,4,11,14,33,38,16
2424,5,15,21,22,29,34,28
2423,15,18,25,28,30,44,38
2422,4,8,25,27,37,38,15
2421,1,14,17,25,32,40,16
2420,1,3,13,23,29,40,15
2419,4,5,6,8,12,24,39
2418,4,7,33,35,40,42,2
2417,5,14,23,29,30,38,22
2416,8,11,17,33,39,43,23
2415,7,11,19,28,39,40,31
2414,7,11,26,32,41,42,20
2413,6,8,11,27,35,38,2
2412,2,8,9,24,25,34,42
2411,5,8,13,37,39,44,20
2410,7,8,17,23,40,43,1
2409,9,19,20,21,28,43,1
2408,9,14,20,31,35,38,17
2407,5,21,29,34,36,42,27
2406,8,11,21,23,26,40,28
2405,2,5,17,21,33,40,30
2404,5,15,16,17,21,22,25
2403,5,6,9,12,35,37,11
2402,3,11,15,31,34,42,2
2401,1,9,19,25,29,42,8
2400,6,10,14,15,19,40,2
2399,2,3,17,32,38,42,7
2398,2,15,26,34,36,41,4
2397,25,36,37,39,43,44,16
2396,9,20,22,37,39,41,40
2395,5,6,7,11,32,33,36
2394,9,21,25,34,38,42,27
2393,13,16,24,36,39,41,10
2392,7,8,25,28,30,44,12
2391,4,21,24,30,39,41,32
2390,4,6,16,19,26,32,20
2389,1,6,15,25,28,32,17
2388,10,16,29,31,35,36,13
2387,23,25,32,34,37,43,31
2386,4,13,14,17,21,35,19
2385,6,14,25,31,35,42,34
2384,1,6,9,24,31,43,16
2383,14,18,25,31,40,41,15
2382,17,18,31,38,43,44,37
2381,10,18,24,26,28,39,22
2380,3,4,20,28,34,35,1
2379,13,20,28,34,35,39,30
2378,3,11,12,22,29,40,4
2377,2,5,12,20,23,27,14
2376,2,4,11,26,29,30,20
2375,5,20,36,37,38,43,13
2374,11,22,25,35,38,42,28
2373,2,10,11,25,31,33,4
2372,1,8,16,20,23,38,39
2371,7,15,20,25,30,38,27
2370,12,17,21,22,32,36,40
2369,2,7,11,26,29,41,4
2368,7,9,10,20,22,40,8
2367,2,15,26,27,42,44,35
2366,1,8,9,33,38,39,5
2365,9,30,31,35,39,44,4
2364,9,14,17,23,34,36,16
2363,1,13,14,27,33,44,24
2362,2,19,36,38,40,44,3
2361,10,11,22,28,35,41,33
2360,6,7,18,27,37,41,43
2359,3,12,16,18,42,44,24
2358,27,35,38,39,41,42,26
2357,16,19,20,25,28,40,38
2356,14,21,23,25,37,43,18
2355,1,8,9,13,18,32,4
2354,4,15,18,25,35,39,5
2353,9,13,14,25,41,47,16
2352,11,22,24,25,42,43,23
2351,1,2,5,20,21,23,36
2350,11,26,27,34,44,46,8
2349,6,16,26,30,37,43,10
2348,10,15,22,30,34,40,39
2347,11,12,24,31,36,39,5
2346,7,16,22,24,27,33,45
2345,13,16,28,38,40,43,44
2344,4,8,14,17,35,44,5
2343,1,7,10,18,21,28,30
2342,7,18,26,27,33,43,6
2341,10,14,19,28,29,34,26
2340,1,8,25,30,45,46,12
2339,3,4,18,33,42,44,22
2338,6,12,17,32,41,47,43
2337,2,9,28,39,40,42,32
2336,1,7,14,16,17,22,28
2335,4,25,28,37,40,41,19
2334,3,16,21,29,30,35,44
2333,1,5,11,23,27,32,9
2332,7,8,31,32,41,42,2
2331,1,6,10,22,26,33,31
2330,7,32,34,35,45,46,2
2329,7,9,12,14,20,27,46
2328,12,13,17,21,37,39,14
2327,9,12,28,29,35,39,44
2326,3,13,17,29,32,37,12
2325,19,26,27,29,34,43,38
2324,5,13,20,26,28,40,43
2323,12,15,29,34,42,47,18
2322,5,19,20,24,39,47,38
2321,9,11,14,27,34,47,43
2320,16,17,30,35,37,39,14
2319,7,23,24,27,34,39,12
2318,7,9,29,31,39,42,3
2317,1,3,9,10,22,38,14
2316,22,24,25,27,43,44,3
2315,6,7,19,22,24,41,26
2314,21,22,33,36,40,44,25
2313,10,17,20,33,41,42,19
2312,11,18,22,23,36,47,19
2311,1,3,17,24,28,33,8
2310,9,16,35,40,42,44,11
2309,9,13,15,18,32,33,30
2308,14,16,20,31,41,45,42
2307,4,7,27,30,32,33,14
2306,4,14,17,25,34,38,23
2305,2,6,12,25,35,39,43
2304,3,4,6,33,34,37,9
2303,2,11,20,27,32,36,24
2302,5,6,24,29,32,35,45
2301,2,7,14,16,33,42,10
2300,7,27,35,38,39,42,31
2299,1,4,12,23,28,29,22
2298,3,9,17,21,36,43,34
2297,18,20,27,36,42,44,9
2296,11,13,33,36,38,39,25
2295,10,13,18,26,30,39,15
2294,3,13,24,28,30,46,43
2293,13,27,32,33,41,46,16
2292,1,9,23,28,38,47,17
2291,4,10,14,15,26,27,11
2290,5,12,15,19,28,38,40
2289,27,28,29,30,42,46,1
2288,2,10,19,24,27,31,1
2287,7,8,18,24,28,40,34
2286,10,11,30,31,32,44,21
2285,8,14,15,18,19,45,27
2284,1,4,14,15,30,33,18
2283,1,12,22,31,41,45,40
2282,2,3,11,32,41,47,45
2281,6,8,24,41,43,45,28
2280,4,10,27,32,37,41,42
2279,23,25,32,34,38,44,16
2278,3,7,13,18,22,34,11
2277,10,14,18,20,22,27,29
2276,11,17,22,28,42,46,44
2275,8,10,12,26,28,39,6
2274,11,13,26,30,32,42,29
2273,8,9,21,24,37,38,16
2272,13,17,27,34,37,46,29
2271,13,17,23,35,39,46,31
2270,11,12,17,20,33,45,3
2269,16,17,21,31,41,46,30
2268,5,8,16,27,31,33,19
2267,1,9,22,36,38,43,39
2266,5,7,8,24,34,42,36
2265,4,8,14,24,34,47,6
2264,13,16,26,32,41,43,4
2263,5,6,17,30,34,41,33
